Region Code,TEA Region,County Number,County Name,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent,,
16,Amarillo,185,PARMER,Economically Disadvantaged, 116 , 103 ,89%, 91 ,78%, 8 ,7%, 81 ,70%, 28 ,24%, 26 ,22%, 54 ,47%, 5 ,4%, 17 ,15%,,
16,Amarillo,188,POTTER,Not Economically Disadvantaged," 1,055 "," 1,013 ",96%, 955 ,91%, 33 ,3%, 897 ,85%, 260 ,25%, 462 ,44%, 722 ,68%, 30 ,3%, 312 ,30%,,
16,Amarillo,188,POTTER,Economically Disadvantaged," 1,367 "," 1,276 ",93%," 1,095 ",80%, 145 ,11%, 967 ,71%, 89 ,7%, 513 ,38%, 602 ,44%, 55 ,4%, 161 ,12%,,
16,Amarillo,191,RANDALL,Not Economically Disadvantaged, 521 , 496 ,95%, 481 ,92%, 7 ,1%, 444 ,85%, 163 ,31%, 188 ,36%, 351 ,67%, 17 ,3%, 173 ,33%,,
16,Amarillo,191,RANDALL,Economically Disadvantaged, 132 , 122 ,92%, 116 ,88%, 7 ,5%, 110 ,83%, 17 ,13%, 49 ,37%, 66 ,50%, 2 ,2%, 14 ,11%,,
16,Amarillo,197,ROBERTS,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
16,Amarillo,197,ROBERTS,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
16,Amarillo,211,SHERMAN,Not Economically Disadvantaged, 26 , 25 ,96%, 22 ,85%, 1 ,4%, 19 ,73%, 10 ,38%, 8 ,31%, 18 ,69%, 1 ,4%, 7 ,27%,,
16,Amarillo,211,SHERMAN,Economically Disadvantaged, 32 , 27 ,84%, 26 ,81%, 3 ,9%, 23 ,72%, 4 ,13%, 9 ,28%, 13 ,41%, -   ,0%, 6 ,19%,,
16,Amarillo,219,SWISHER,Not Economically Disadvantaged, 34 , 33 ,97%, 33 ,97%, -   ,0%, 33 ,97%, 12 ,35%, 8 ,24%, 20 ,59%, -   ,0%, 13 ,38%,,
16,Amarillo,219,SWISHER,Economically Disadvantaged, 70 , 67 ,96%, 59 ,84%, 3 ,4%, 56 ,80%, 14 ,20%, 22 ,31%, 36 ,51%, 3 ,4%, 12 ,17%,,
16,Amarillo,242,WHEELER,Not Economically Disadvantaged, 44 , 43 ,98%, 43 ,98%, -   ,0%, 39 ,89%, 15 ,34%, 15 ,34%, 30 ,68%, 1 ,2%, 15 ,34%,,
16,Amarillo,242,WHEELER,Economically Disadvantaged, 26 , 23 ,88%, 21 ,81%, -   ,0%, 19 ,73%, 5 ,19%, 8 ,31%, 13 ,50%, 1 ,4%, 8 ,31%,,
17,Lubbock,009,BAILEY,Not Economically Disadvantaged, 25 , 24 ,96%, 21 ,84%, 3 ,12%, 20 ,80%, 6 ,24%, 10 ,40%, 16 ,64%, -   ,0%, 6 ,24%,,
17,Lubbock,009,BAILEY,Economically Disadvantaged, 86 , 77 ,90%, 66 ,77%, 9 ,10%, 55 ,64%, 11 ,13%, 18 ,21%, 29 ,34%, 4 ,5%, 12 ,14%,,
17,Lubbock,017,BORDEN,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
17,Lubbock,017,BORDEN,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
17,Lubbock,040,COCHRAN,Not Economically Disadvantaged, 20 , 20 ,100%, 18 ,90%, 1 ,5%, 18 ,90%, 4 ,20%, 10 ,50%, 14 ,70%, -   ,0%, 9 ,45%,,
17,Lubbock,040,COCHRAN,Economically Disadvantaged, 52 , 50 ,96%, 47 ,90%, 2 ,4%, 42 ,81%, 5 ,10%, 23 ,44%, 28 ,54%, -   ,0%, 12 ,23%,,
17,Lubbock,051,COTTLE,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
17,Lubbock,051,COTTLE,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
17,Lubbock,054,CROSBY,Not Economically Disadvantaged, 27 , 27 ,100%, 26 ,96%, -   ,0%, 24 ,89%, 13 ,48%, 5 ,19%, 18 ,67%, -   ,0%, 12 ,44%,,
17,Lubbock,054,CROSBY,Economically Disadvantaged, 82 , 79 ,96%, 77 ,94%, 2 ,2%, 73 ,89%, 12 ,15%, 22 ,27%, 34 ,41%, -   ,0%, 6 ,7%,,
17,Lubbock,058,DAWSON,Not Economically Disadvantaged, 66 , 66 ,100%, 63 ,95%, 1 ,2%, 63 ,95%, 17 ,26%, 27 ,41%, 44 ,67%, -   ,0%, 24 ,36%,,
17,Lubbock,058,DAWSON,Economically Disadvantaged, 115 , 105 ,91%, 81 ,70%, 17 ,15%, 68 ,59%, 9 ,8%, 21 ,18%, 30 ,26%, 1 ,1%, 7 ,6%,,
17,Lubbock,063,DICKENS,Not Economically Disadvantaged, 18 , 18 ,100%, 18 ,100%, -   ,0%, 17 ,94%, 5 ,28%, 10 ,56%, 15 ,83%, -   ,0%, 8 ,44%,,
17,Lubbock,063,DICKENS,Economically Disadvantaged, 17 , 16 ,94%, 16 ,94%, -   ,0%, 13 ,76%, 2 ,12%, 6 ,35%, 8 ,47%, 1 ,6%, 1 ,6%,,
17,Lubbock,077,FLOYD,Not Economically Disadvantaged, 42 , 41 ,98%, 40 ,95%, -   ,0%, 36 ,86%, 13 ,31%, 16 ,38%, 29 ,69%, 2 ,5%, 13 ,31%,,
17,Lubbock,077,FLOYD,Economically Disadvantaged, 68 , 64 ,94%, 61 ,90%, 3 ,4%, 47 ,69%, 12 ,18%, 9 ,13%, 21 ,31%, 1 ,1%, 5 ,7%,,
17,Lubbock,083,GAINES,Not Economically Disadvantaged, 107 , 102 ,95%, 98 ,92%, 2 ,2%, 97 ,91%, 27 ,25%, 30 ,28%, 57 ,53%, -   ,0%, 32 ,30%,,
17,Lubbock,083,GAINES,Economically Disadvantaged, 107 , 100 ,93%, 86 ,80%, 8 ,7%, 82 ,77%, 11 ,10%, 21 ,20%, 32 ,30%, 1 ,1%, 17 ,16%,,
17,Lubbock,085,GARZA,Not Economically Disadvantaged, 39 , 39 ,100%, 37 ,95%, 1 ,3%, 34 ,87%, 10 ,26%, 10 ,26%, 20 ,51%, -   ,0%, 11 ,28%,,
17,Lubbock,085,GARZA,Economically Disadvantaged, 60 , 52 ,87%, 47 ,78%, 5 ,8%, 38 ,63%, 5 ,8%, 14 ,23%, 19 ,32%, 1 ,2%, 4 ,7%,,
17,Lubbock,095,HALE,Not Economically Disadvantaged, 190 , 183 ,96%, 170 ,89%, 9 ,5%, 163 ,86%, 75 ,39%, 52 ,27%, 127 ,67%, 2 ,1%, 53 ,28%,,
17,Lubbock,095,HALE,Economically Disadvantaged, 367 , 352 ,96%, 287 ,78%, 49 ,13%, 250 ,68%, 58 ,16%, 83 ,23%, 141 ,38%, 7 ,2%, 34 ,9%,,
17,Lubbock,110,HOCKLEY,Not Economically Disadvantaged, 153 , 148 ,97%, 148 ,97%, 1 ,1%, 138 ,90%, 30 ,20%, 88 ,58%, 118 ,77%, 6 ,4%, 56 ,37%,,
17,Lubbock,110,HOCKLEY,Economically Disadvantaged, 188 , 176 ,94%, 152 ,81%, 15 ,8%, 133 ,71%, 15 ,8%, 72 ,38%, 87 ,46%, 3 ,2%, 28 ,15%,,
17,Lubbock,132,KENT,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
17,Lubbock,132,KENT,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
17,Lubbock,135,KING,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
17,Lubbock,135,KING,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
17,Lubbock,140,LAMB,Not Economically Disadvantaged, 88 , 84 ,95%, 83 ,94%, 3 ,3%, 81 ,92%, 31 ,35%, 37 ,42%, 68 ,77%, -   ,0%, 42 ,48%,,
17,Lubbock,140,LAMB,Economically Disadvantaged, 161 , 151 ,94%, 139 ,86%, 11 ,7%, 122 ,76%, 24 ,15%, 56 ,35%, 80 ,50%, 2 ,1%, 26 ,16%,,
17,Lubbock,152,LUBBOCK,Not Economically Disadvantaged," 1,477 "," 1,423 ",96%," 1,361 ",92%, 39 ,3%," 1,248 ",85%, 505 ,34%, 477 ,32%, 982 ,66%, 48 ,3%, 495 ,34%,,
17,Lubbock,152,LUBBOCK,Economically Disadvantaged," 1,604 "," 1,492 ",93%," 1,305 ",81%, 155 ,10%," 1,072 ",67%, 151 ,9%, 430 ,27%, 581 ,36%, 40 ,2%, 131 ,8%,,
17,Lubbock,153,LYNN,Not Economically Disadvantaged, 33 , 33 ,100%, . ,., . ,., 27 ,82%, 12 ,36%, 16 ,48%, 28 ,85%, 2 ,6%, 9 ,27%,,
17,Lubbock,153,LYNN,Economically Disadvantaged, 48 , 47 ,98%, . ,., . ,., 42 ,88%, 5 ,10%, 17 ,35%, 22 ,46%, 1 ,2%, 11 ,23%,,
17,Lubbock,173,MOTLEY,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
17,Lubbock,173,MOTLEY,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
17,Lubbock,223,TERRY,Not Economically Disadvantaged, 64 , 61 ,95%, 58 ,91%, 3 ,5%, 58 ,91%, 15 ,23%, 28 ,44%, 43 ,67%, 1 ,2%, 15 ,23%,,
17,Lubbock,223,TERRY,Economically Disadvantaged, 114 , 111 ,97%, 99 ,87%, 4 ,4%, 85 ,75%, 12 ,11%, 38 ,33%, 50 ,44%, 3 ,3%, 16 ,14%,,
17,Lubbock,251,YOAKUM,Not Economically Disadvantaged, 59 , 56 ,95%, 55 ,93%, 1 ,2%, 54 ,92%, 17 ,29%, 21 ,36%, 38 ,64%, 2 ,3%, 17 ,29%,,
17,Lubbock,251,YOAKUM,Economically Disadvantaged, 97 , 94 ,97%, 84 ,87%, 2 ,2%, 73 ,75%, 7 ,7%, 24 ,25%, 31 ,32%, 1 ,1%, 15 ,15%,,
18,Midland,002,ANDREWS,Not Economically Disadvantaged, 114 , 113 ,99%, 106 ,93%, 7 ,6%, 96 ,84%, 30 ,26%, 29 ,25%, 59 ,52%, 3 ,3%, 24 ,21%,,
18,Midland,002,ANDREWS,Economically Disadvantaged, 97 , 95 ,98%, 81 ,84%, 8 ,8%, 72 ,74%, 7 ,7%, 21 ,22%, 28 ,29%, 1 ,1%, 9 ,9%,,
18,Midland,022,BREWSTER,Not Economically Disadvantaged, 35 , 33 ,94%, 32 ,91%, 2 ,6%, 32 ,91%, 19 ,54%, 5 ,14%, 24 ,69%, 1 ,3%, 11 ,31%,,
18,Midland,022,BREWSTER,Economically Disadvantaged, 51 , 49 ,96%, 45 ,88%, 1 ,2%, 38 ,75%, 13 ,25%, 11 ,22%, 24 ,47%, 1 ,2%, 9 ,18%,,
18,Midland,052,CRANE,Not Economically Disadvantaged, 42 , 40 ,95%, 37 ,88%, 1 ,2%, 35 ,83%, 14 ,33%, 14 ,33%, 28 ,67%, -   ,0%, 14 ,33%,,
18,Midland,052,CRANE,Economically Disadvantaged, 29 , 28 ,97%, 26 ,90%, 2 ,7%, 20 ,69%, 5 ,17%, 7 ,24%, 12 ,41%, 1 ,3%, 4 ,14%,,
18,Midland,055,CULBERSON,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
18,Midland,055,CULBERSON,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
18,Midland,068,ECTOR,Not Economically Disadvantaged," 1,054 ", 991 ,94%, 886 ,84%, 80 ,8%, 735 ,70%, 197 ,19%, 367 ,35%, 564 ,54%, 40 ,4%, 221 ,21%,,
18,Midland,068,ECTOR,Economically Disadvantaged," 1,115 ", 965 ,87%, 787 ,71%, 181 ,16%, 554 ,50%, 71 ,6%, 293 ,26%, 364 ,33%, 50 ,4%, 94 ,8%,,
18,Midland,087,GLASSCOCK,Not Economically Disadvantaged, 12 , 12 ,100%, 12 ,100%, -   ,0%, 12 ,100%, 10 ,83%, 1 ,8%, 11 ,92%, -   ,0%, 11 ,92%,,
18,Midland,087,GLASSCOCK,Economically Disadvantaged, 6 , 6 ,100%, 6 ,100%, -   ,0%, 6 ,100%, 2 ,33%, 3 ,50%, 5 ,83%, -   ,0%, 2 ,33%,,
18,Midland,114,HOWARD,Not Economically Disadvantaged, 202 , 193 ,96%, 178 ,88%, 10 ,5%, 171 ,85%, 50 ,25%, 87 ,43%, 137 ,68%, 10 ,5%, 61 ,30%,,
18,Midland,114,HOWARD,Economically Disadvantaged, 238 , 222 ,93%, 175 ,74%, 33 ,14%, 165 ,69%, 14 ,6%, 69 ,29%, 83 ,35%, 5 ,2%, 20 ,8%,,
18,Midland,122,JEFF DAVIS,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
18,Midland,122,JEFF DAVIS,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
18,Midland,156,MARTIN,Not Economically Disadvantaged, 47 , 45 ,96%, 44 ,94%, 1 ,2%, 45 ,96%, 18 ,38%, 20 ,43%, 38 ,81%, 1 ,2%, 19 ,40%,,
18,Midland,156,MARTIN,Economically Disadvantaged, 36 , 28 ,78%, 28 ,78%, 4 ,11%, 25 ,69%, 2 ,6%, 15 ,42%, 17 ,47%, -   ,0%, 5 ,14%,,
18,Midland,165,MIDLAND,Not Economically Disadvantaged, 951 , 903 ,95%, 782 ,82%, 105 ,11%, 765 ,80%, 185 ,19%, 441 ,46%, 626 ,66%, 27 ,3%, 264 ,28%,,
18,Midland,165,MIDLAND,Economically Disadvantaged, 810 , 753 ,93%, 514 ,63%, 212 ,26%, 508 ,63%, 40 ,5%, 281 ,35%, 321 ,40%, 27 ,3%, 74 ,9%,,
18,Midland,186,PECOS,Not Economically Disadvantaged, 85 , 83 ,98%, 77 ,91%, 6 ,7%, 71 ,84%, 18 ,21%, 36 ,42%, 54 ,64%, 4 ,5%, 20 ,24%,,
18,Midland,186,PECOS,Economically Disadvantaged, 126 , 115 ,91%, 95 ,75%, 18 ,14%, 81 ,64%, 11 ,9%, 33 ,26%, 44 ,35%, 4 ,3%, 16 ,13%,,
18,Midland,189,PRESIDIO,Not Economically Disadvantaged, 15 , 12 ,80%, 11 ,73%, -   ,0%, 11 ,73%, 8 ,53%, 1 ,7%, 9 ,60%, -   ,0%, 4 ,27%,,
18,Midland,189,PRESIDIO,Economically Disadvantaged, 111 , 99 ,89%, 85 ,77%, 4 ,4%, 73 ,66%, 32 ,29%, 23 ,21%, 55 ,50%, 1 ,1%, 22 ,20%,,
18,Midland,192,REAGAN,Not Economically Disadvantaged, 22 , 22 ,100%, 22 ,100%, -   ,0%, 17 ,77%, 7 ,32%, 4 ,18%, 11 ,50%, 1 ,5%, 5 ,23%,,
18,Midland,192,REAGAN,Economically Disadvantaged, 27 , 27 ,100%, 24 ,89%, -   ,0%, 22 ,81%, 4 ,15%, 7 ,26%, 11 ,41%, -   ,0%, 3 ,11%,,
18,Midland,195,REEVES,Not Economically Disadvantaged, 60 , 54 ,90%, 46 ,77%, 7 ,12%, 46 ,77%, 19 ,32%, 16 ,27%, 35 ,58%, 1 ,2%, 12 ,20%,,
18,Midland,195,REEVES,Economically Disadvantaged, 161 , 145 ,90%, 117 ,73%, 27 ,17%, 114 ,71%, 17 ,11%, 42 ,26%, 59 ,37%, 2 ,1%, 12 ,7%,,
18,Midland,222,TERRELL,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
18,Midland,222,TERRELL,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
18,Midland,231,UPTON,Not Economically Disadvantaged, 27 , 27 ,100%, 26 ,96%, 1 ,4%, 24 ,89%, 8 ,30%, 13 ,48%, 21 ,78%, -   ,0%, 9 ,33%,,
18,Midland,231,UPTON,Economically Disadvantaged, 33 , 32 ,97%, 30 ,91%, 1 ,3%, 27 ,82%, -   ,0%, 15 ,45%, 15 ,45%, -   ,0%, 5 ,15%,,
18,Midland,238,WARD,Not Economically Disadvantaged, 77 , 76 ,99%, 72 ,94%, 3 ,4%, 72 ,94%, 27 ,35%, 21 ,27%, 48 ,62%, 1 ,1%, 24 ,31%,,
18,Midland,238,WARD,Economically Disadvantaged, 77 , 72 ,94%, 55 ,71%, 12 ,16%, 53 ,69%, 4 ,5%, 15 ,19%, 19 ,25%, 1 ,1%, 5 ,6%,,
18,Midland,248,WINKLER,Not Economically Disadvantaged, 62 , 60 ,97%, 54 ,87%, 3 ,5%, 51 ,82%, 19 ,31%, 21 ,34%, 40 ,65%, 1 ,2%, 17 ,27%,,
18,Midland,248,WINKLER,Economically Disadvantaged, 64 , 63 ,98%, 59 ,92%, 2 ,3%, 50 ,78%, 7 ,11%, 19 ,30%, 26 ,41%, 1 ,2%, 8 ,13%,,
19,El Paso,999,El Paso&Hudsp,Not Economically Disadvantaged," 3,258 "," 3,013 ",92%," 2,608 ",80%, 313 ,10%," 2,622 ",80%," 1,082 ",33%," 1,134 ",35%," 2,216 ",68%, 138 ,4%, 922 ,28%,,
19,El Paso,999,El Paso&Hudsp,Economically Disadvantaged," 9,956 "," 9,329 ",94%," 7,161 ",72%," 1,967 ",20%," 7,450 ",75%," 1,950 ",20%," 3,550 ",36%," 5,500 ",55%, 325 ,3%," 1,683 ",17%,,
20,San Antonio,007,ATASCOSA,Not Economically Disadvantaged, 229 , 218 ,95%, 204 ,89%, 12 ,5%, 199 ,87%, 67 ,29%, 65 ,28%, 132 ,58%, 5 ,2%, 62 ,27%,,
20,San Antonio,007,ATASCOSA,Economically Disadvantaged, 414 , 386 ,93%, 335 ,81%, 47 ,11%, 321 ,78%, 47 ,11%, 106 ,26%, 153 ,37%, 11 ,3%, 46 ,11%,,
20,San Antonio,010,BANDERA,Not Economically Disadvantaged, 120 , 117 ,98%, 114 ,95%, 1 ,1%, 109 ,91%, 48 ,40%, 32 ,27%, 80 ,67%, 4 ,3%, 42 ,35%,,
20,San Antonio,010,BANDERA,Economically Disadvantaged, 112 , 103 ,92%, 83 ,74%, 15 ,13%, 75 ,67%, 13 ,12%, 20 ,18%, 33 ,29%, 2 ,2%, 12 ,11%,,
20,San Antonio,015,BEXAR,Not Economically Disadvantaged," 8,771 "," 8,218 ",94%," 7,193 ",82%, 841 ,10%," 7,119 ",81%," 2,698 ",31%," 2,896 ",33%," 5,594 ",64%, 316 ,4%," 2,765 ",32%,,
20,San Antonio,015,BEXAR,Economically Disadvantaged," 13,125 "," 12,306 ",94%," 9,343 ",71%," 2,615 ",20%," 8,967 ",68%," 1,425 ",11%," 4,186 ",32%," 5,611 ",43%, 395 ,3%," 1,515 ",12%,,
20,San Antonio,064,DIMMIT,Not Economically Disadvantaged, 30 , 29 ,97%, 29 ,97%, 1 ,3%, 27 ,90%, 8 ,27%, 13 ,43%, 21 ,70%, -   ,0%, 7 ,23%,,
20,San Antonio,064,DIMMIT,Economically Disadvantaged, 142 , 133 ,94%, 111 ,78%, 18 ,13%, 95 ,67%, 25 ,18%, 47 ,33%, 72 ,51%, 4 ,3%, 28 ,20%,,
20,San Antonio,082,FRIO,Not Economically Disadvantaged, 63 , 62 ,98%, 55 ,87%, 3 ,5%, 56 ,89%, 23 ,37%, 18 ,29%, 41 ,65%, -   ,0%, 21 ,33%,,
20,San Antonio,082,FRIO,Economically Disadvantaged, 169 , 166 ,98%, 133 ,79%, 21 ,12%, 133 ,79%, 23 ,14%, 31 ,18%, 54 ,32%, 1 ,1%, 23 ,14%,,
20,San Antonio,130,KENDALL,Not Economically Disadvantaged, 408 , 389 ,95%, 378 ,93%, 7 ,2%, 370 ,91%, 194 ,48%, 109 ,27%, 303 ,74%, 12 ,3%, 181 ,44%,,
20,San Antonio,130,KENDALL,Economically Disadvantaged, 98 , 92 ,94%, 75 ,77%, 12 ,12%, 67 ,68%, 11 ,11%, 18 ,18%, 29 ,30%, 2 ,2%, 7 ,7%,,
20,San Antonio,133,KERR,Not Economically Disadvantaged, 300 , 279 ,93%, 255 ,85%, 17 ,6%, 250 ,83%, 125 ,42%, 66 ,22%, 191 ,64%, 9 ,3%, 97 ,32%,,
20,San Antonio,133,KERR,Economically Disadvantaged, 264 , 253 ,96%, 191 ,72%, 45 ,17%, 170 ,64%, 30 ,11%, 52 ,20%, 82 ,31%, 5 ,2%, 26 ,10%,,
20,San Antonio,136,KINNEY,Not Economically Disadvantaged, 16 , 16 ,100%, 15 ,94%, -   ,0%, 15 ,94%, 9 ,56%, 3 ,19%, 12 ,75%, -   ,0%, 9 ,56%,,
20,San Antonio,136,KINNEY,Economically Disadvantaged, 46 , 42 ,91%, 37 ,80%, 7 ,15%, 40 ,87%, 9 ,20%, 16 ,35%, 25 ,54%, 1 ,2%, 6 ,13%,,
20,San Antonio,142,LA SALLE,Not Economically Disadvantaged, 23 , 23 ,100%, 20 ,87%, 3 ,13%, 18 ,78%, 6 ,26%, 7 ,30%, 13 ,57%, -   ,0%, 5 ,22%,,
20,San Antonio,142,LA SALLE,Economically Disadvantaged, 55 , 53 ,96%, 49 ,89%, 4 ,7%, 38 ,69%, 8 ,15%, 9 ,16%, 17 ,31%, 1 ,2%, 9 ,16%,,
20,San Antonio,159,MAVERICK,Not Economically Disadvantaged, 130 , 120 ,92%, 109 ,84%, 8 ,6%, 113 ,87%, 39 ,30%, 56 ,43%, 95 ,73%, 2 ,2%, 51 ,39%,,
20,San Antonio,159,MAVERICK,Economically Disadvantaged, 930 , 866 ,93%, 713 ,77%, 135 ,15%, 700 ,75%, 153 ,16%, 382 ,41%, 535 ,58%, 29 ,3%, 231 ,25%,,
20,San Antonio,163,MEDINA,Not Economically Disadvantaged, 315 , 307 ,97%, 288 ,91%, 14 ,4%, 277 ,88%, 120 ,38%, 95 ,30%, 215 ,68%, 6 ,2%, 124 ,39%,,
20,San Antonio,163,MEDINA,Economically Disadvantaged, 329 , 316 ,96%, 265 ,81%, 36 ,11%, 236 ,72%, 37 ,11%, 96 ,29%, 133 ,40%, 7 ,2%, 41 ,12%,,
20,San Antonio,193,REAL,Not Economically Disadvantaged, 13 , 13 ,100%, 13 ,100%, -   ,0%, 13 ,100%, 5 ,38%, 5 ,38%, 10 ,77%, -   ,0%, 5 ,38%,,
20,San Antonio,193,REAL,Economically Disadvantaged, 23 , 20 ,87%, 21 ,91%, -   ,0%, 16 ,70%, 2 ,9%, 6 ,26%, 8 ,35%, -   ,0%, 1 ,4%,,
20,San Antonio,232,UVALDE,Not Economically Disadvantaged, 124 , 115 ,93%, 112 ,90%, 7 ,6%, 109 ,88%, 34 ,27%, 58 ,47%, 92 ,74%, 2 ,2%, 50 ,40%,,
20,San Antonio,232,UVALDE,Economically Disadvantaged, 351 , 325 ,93%, 304 ,87%, 31 ,9%, 260 ,74%, 18 ,5%, 166 ,47%, 184 ,52%, 11 ,3%, 59 ,17%,,
20,San Antonio,247,WILSON,Not Economically Disadvantaged, 375 , 361 ,96%, 340 ,91%, 17 ,5%, 342 ,91%, 124 ,33%, 126 ,34%, 250 ,67%, 3 ,1%, 146 ,39%,,
20,San Antonio,247,WILSON,Economically Disadvantaged, 238 , 229 ,96%, 191 ,80%, 32 ,13%, 190 ,80%, 21 ,9%, 69 ,29%, 90 ,38%, 1 ,0%, 27 ,11%,,
20,San Antonio,254,ZAVALA,Not Economically Disadvantaged, 22 , 22 ,100%, 19 ,86%, 3 ,14%, 19 ,86%, 5 ,23%, 12 ,55%, 17 ,77%, 1 ,5%, 5 ,23%,,
20,San Antonio,254,ZAVALA,Economically Disadvantaged, 186 , 180 ,97%, 141 ,76%, 33 ,18%, 138 ,74%, 13 ,7%, 89 ,48%, 102 ,55%, 3 ,2%, 44 ,24%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: THECB and TEA, 03/21/2018",,,,,,,,,,,,,,,,,,,,,,,,,
